new meter diffuser on input,,,,,,,,,,,
Oct 22 2021 14:35:00,Pump Off Samples,N=15,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
18,99129.76563,99102.63281,99092.41406,98991.57813,208,27.13,37.35,138.19,10.22,111.05,100.84
19,99130.45313,99102.67188,99092.9375,98991.71875,207,27.78,37.52,138.73,9.73,110.95,101.22
20,99128.55469,99102.32031,99092.36719,98991.60938,207,26.23,36.19,136.95,9.95,110.71,100.76
21,99130.55469,99102.03906,99092.57813,98991.57031,207,28.52,37.98,138.98,9.46,110.47,101.01
22,99131.50781,99103.27344,99093.73438,98991.71875,212,28.23,37.77,139.79,9.54,111.55,102.02
23,99129.09375,99102.53906,99092.61719,98991.65625,203,26.55,36.48,137.44,9.92,110.88,100.96
24,99129.45313,99102.36719,99093.17188,98991.60156,207,27.09,36.28,137.85,9.2,110.77,101.57
25,99130.92969,99102.64063,99093.42969,98991.6875,208,28.29,37.5,139.24,9.21,110.95,101.74
26,99129.98438,99103.42188,99093.72656,98991.57813,207,26.56,36.26,138.41,9.7,111.84,102.15
27,99132.25781,99101.92969,99092.73438,98991.32031,211,30.33,39.52,140.94,9.2,110.61,101.41
28,99131.71094,99101.70313,99092.71094,98991.42188,204,30.01,39,140.29,8.99,110.28,101.29
29,99129.1875,99104.47656,99092.0625,98991.4375,207,24.71,37.13,137.75,12.41,113.04,100.62
30,99129.72656,99102.51563,99092.69531,98991.51563,208,27.21,37.03,138.21,9.82,111,101.18
mu,116.804687,88.4375,86.304687,-1.757813,192.75,,,,,,
sd,0.184326,0.317634,0.632989,0.079288,29.17,,,,,,
Q,0.473282,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on input,,,,,,,,,,,
Oct 22 2021 14:37:11,Pump Off Samples,N=15,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99008.70313,99009.64844,99001.88281,98989.42188,13,-0.95,6.82,19.28,7.77,20.23,12.46
2,99008.70313,99009.60156,99002.26563,98989.42188,130,-0.9,6.44,19.28,7.34,20.18,12.84
3,99008.74219,99009.60938,99002,98989.44531,207,-0.87,6.74,19.3,7.61,20.16,12.55
4,99008.80469,99009.67969,99002,98989.53125,207,-0.88,6.8,19.27,7.68,20.15,12.47
5,99008.85938,99009.60938,99002.25,98989.45313,208,-0.75,6.61,19.41,7.36,20.16,12.8
6,99008.78125,99009.42969,99002.16406,98989.47656,207,-0.65,6.62,19.3,7.27,19.95,12.69
7,99008.82813,99009.6875,99002.20313,98989.46094,208,-0.86,6.62,19.37,7.48,20.23,12.74
8,99008.73438,99009.67969,99002.14063,98989.26563,207,-0.95,6.59,19.47,7.54,20.41,12.88
9,99008.84375,99009.49219,99001.99219,98989.25781,207,-0.65,6.85,19.59,7.5,20.23,12.73
10,99008.66406,99009.46875,99002.17188,98989.27344,208,-0.8,6.49,19.39,7.3,20.2,12.9
11,99008.60156,99009.53125,99002.03125,98989.0625,207,-0.93,6.57,19.54,7.5,20.47,12.97
12,99008.49219,99009.23438,99002.05469,98989.22656,208,-0.74,6.44,19.27,7.18,20.01,12.83
13,99008.57813,99009.35156,99001.97656,98989.01563,207,-0.77,6.6,19.56,7.37,20.34,12.96
14,99008.44531,99009.38281,99001.78125,98989.32813,208,-0.94,6.66,19.12,7.6,20.05,12.45
15,99008.375,99009.28906,99001.88281,98989.17188,207,-0.91,6.49,19.2,7.41,20.12,12.71
Oct 22 2021 14:37:11,flow rate=0.66,N=15,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99125.61719,99098.70313,99088.84375,98988.85938,13,26.91,36.77,136.76,9.86,109.84,99.98
2,99126.07813,99098.57031,99088.98438,98988.71875,163,27.51,37.09,137.36,9.59,109.85,100.27
3,99125.64844,99098.41406,99088.63281,98988.85938,207,27.23,37.02,136.79,9.78,109.55,99.77
4,99126.625,99099.23438,99088.88281,98988.80469,208,27.39,37.74,137.82,10.35,110.43,100.08
5,99126.42969,99099.16406,99089.10156,98988.84375,207,27.27,37.33,137.59,10.06,110.32,100.26
6,99128.57031,99100.35938,99090.11719,98988.91406,207,28.21,38.45,139.66,10.24,111.45,101.2
7,99125.76563,99098.61719,99088.47656,98988.66406,208,27.15,37.29,137.1,10.14,109.95,99.81
8,99126.9375,99098.8125,99089.05469,98988.83594,207,28.12,37.88,138.1,9.76,109.98,100.22
9,99129.74219,99101.91406,99091.8125,98988.60156,208,27.83,37.93,141.14,10.1,113.31,103.21
10,99126.82813,99099.84375,99090.03906,98988.375,207,26.98,36.79,138.45,9.8,111.47,101.66
11,99126.625,99099.125,99088.70313,98988.20313,207,27.5,37.92,138.42,10.42,110.92,100.5
12,99126.6875,99098.97656,99088.82031,98988.15625,208,27.71,37.87,138.53,10.16,110.82,100.66
13,99127.96875,99099.77344,99089.52344,98987.96875,207,28.2,38.45,140,10.25,111.8,101.55
14,99127.84375,99099.84375,99089.42969,98988.07813,208,28,38.41,139.77,10.41,111.77,101.35
15,99127.83594,99099.72656,99089.40625,98987.91406,207,28.11,38.43,139.92,10.32,111.81,101.49
mu,117.25,89.09375,86.796875,-0.640625,196.25,,,,,,
sd,0.47139,0.356133,0.147819,0.066445,22.17,,,,,,
Q,0.469887,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on input,,,,,,,,,,,
Oct 22 2021 14:37:55,Pump Off Samples,N=15,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99009.84375,99010.67188,99003.3125,98990.86719,9,-0.83,6.53,18.98,7.36,19.8,12.45
2,99009.84375,99010.85156,99003.42969,98990.82813,164,-1.01,6.41,19.02,7.42,20.02,12.6
3,99009.95313,99010.67188,99003.375,98990.84375,207,-0.72,6.58,19.11,7.3,19.83,12.53
4,99009.75,99010.67969,99003.35938,98990.76563,207,-0.93,6.39,18.98,7.32,19.91,12.59
5,99009.82813,99010.92188,99003.1875,98990.79688,207,-1.09,6.64,19.03,7.73,20.12,12.39
6,99009.83594,99010.79688,99003.34375,98990.63281,208,-0.96,6.49,19.2,7.45,20.16,12.71
7,99009.61719,99010.67188,99003.46875,98990.65625,207,-1.05,6.15,18.96,7.2,20.02,12.81
8,99009.84375,99010.36719,99003.35938,98990.63281,211,-0.52,6.48,19.21,7.01,19.73,12.73
9,99009.85938,99010.71094,99003.32031,98990.82031,203,-0.85,6.54,19.04,7.39,19.89,12.5
10,99010.03125,99010.60156,99003.50781,98990.82031,207,-0.57,6.52,19.21,7.09,19.78,12.69
11,99010.07031,99010.78906,99003.58594,98990.92188,208,-0.72,6.48,19.15,7.2,19.87,12.66
12,99010.14844,99010.89844,99003.55469,98991.07031,206,-0.75,6.59,19.08,7.34,19.83,12.48
13,99010.15625,99010.78906,99003.78125,98990.875,208,-0.63,6.37,19.28,7.01,19.91,12.91
14,99010.22656,99010.83594,99003.65625,98991.01563,207,-0.61,6.57,19.21,7.18,19.82,12.64
15,99010.10156,99010.63281,99003.50781,98990.88281,207,-0.53,6.59,19.22,7.12,19.75,12.63
Oct 22 2021 14:37:55,flow rate=0.66,N=5,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99127.71094,99101.32031,99090.8125,98991.07031,9,26.39,36.9,136.64,10.51,110.25,99.74
2,99127.25781,99100.05469,99092.14063,98991.35938,177,27.2,35.12,135.9,7.91,108.7,100.78
3,99127.94531,99099.94531,99092.28125,98991.24219,207,28,35.66,136.7,7.66,108.7,101.04
4,99130.71094,99102.58594,99091.64844,98991.32031,208,28.12,39.06,139.39,10.94,111.27,100.33
5,99129.35938,99101.71875,99090.94531,98991.42969,207,27.64,38.41,137.93,10.77,110.29,99.52
mu,118.5625,90.257812,88.351562,0.421875,199.75,,,,,,
sd,1.562734,1.24118,0.663511,0.128135,15.17,,,,,,
Q,0.474759,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on input,,,,,,,,,,,
Oct 22 2021 14:38:43,Pump Off Samples,N=15,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99011.89844,99013.02344,99005.65625,98992.875,13,-1.12,6.24,19.02,7.37,20.15,12.78
2,99012.17969,99013.11719,99005.50781,98992.85156,175,-0.94,6.67,19.33,7.61,20.27,12.66
3,99012.09375,99013.1875,99005.45313,98992.96875,207,-1.09,6.64,19.12,7.73,20.22,12.48
4,99012.19531,99013.07031,99005.42969,98992.83594,207,-0.88,6.77,19.36,7.64,20.23,12.59
5,99012.0625,99013.24219,99005.55469,98992.85938,207,-1.18,6.51,19.2,7.69,20.38,12.7
6,99011.8125,99013.14844,99005.5,98992.74219,208,-1.34,6.31,19.07,7.65,20.41,12.76
7,99011.875,99012.82031,99005.40625,98992.71094,207,-0.95,6.47,19.16,7.41,20.11,12.7
8,99011.89844,99012.94531,99005.49219,98992.70313,208,-1.05,6.41,19.2,7.45,20.24,12.79
9,99011.94531,99013.03125,99005.46875,98992.84375,207,-1.09,6.48,19.1,7.56,20.19,12.63
10,99011.88281,99013.10938,99005.5,98992.90625,207,-1.23,6.38,18.98,7.61,20.2,12.59
11,99011.82813,99012.78125,99005.3125,98992.66406,208,-0.95,6.52,19.16,7.47,20.12,12.65
12,99012.03906,99012.92969,99005.49219,98992.57031,207,-0.89,6.55,19.47,7.44,20.36,12.92
13,99012.17188,99012.96875,99005.39063,98992.54688,208,-0.8,6.78,19.62,7.58,20.42,12.84
14,99011.92969,99012.95313,99005.27344,98992.64844,207,-1.02,6.66,19.28,7.68,20.3,12.63
15,99011.99219,99012.97656,99005.36719,98992.78125,207,-0.98,6.62,19.21,7.61,20.2,12.59
Oct 22 2021 14:38:43,flow rate=0.66,N=50,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99131.99219,99104.65625,99094.07031,98993.24219,13,27.34,37.92,138.75,10.59,111.41,100.83
2,99131.44531,99103.17188,99094.28125,98993.08594,148,28.27,37.16,138.36,8.89,110.09,101.2
3,99132.17188,99104.71094,99094.60938,98992.9375,208,27.46,37.56,139.23,10.1,111.77,101.67
4,99132.09375,99104,99094.125,98992.84375,207,28.09,37.97,139.25,9.88,111.16,101.28
5,99132.21094,99105.03125,99093.78906,98992.73438,211,27.18,38.42,139.48,11.24,112.3,101.05
6,99131.15625,99103.28906,99094.52344,98992.82031,203,27.87,36.63,138.34,8.77,110.47,101.7
7,99132.83594,99104.24219,99095.28125,98993.00781,207,28.59,37.55,139.83,8.96,111.23,102.27
8,99130.82813,99103.04688,99093.80469,98992.97656,208,27.78,37.02,137.85,9.24,110.07,100.83
9,99130.20313,99103.00781,99093.57813,98993.07031,207,27.2,36.63,137.13,9.43,109.94,100.51
10,99131.8125,99104.11719,99092.75,98992.79688,207,27.7,39.06,139.02,11.37,111.32,99.95
11,99130.64063,99103.03125,99094.8125,98992.86719,207,27.61,35.83,137.77,8.22,110.16,101.95
12,99131.57031,99103.45313,99093.99219,98992.82813,208,28.12,37.58,138.74,9.46,110.62,101.16
13,99133.22656,99104.69531,99094.24219,98993.00781,207,28.53,38.98,140.22,10.45,111.69,101.23
14,99131.07031,99103.1875,99093.39844,98992.51563,207,27.88,37.67,138.55,9.79,110.67,100.88
15,99132.6875,99103.92969,99093.9375,98992.64063,208,28.76,38.75,140.05,9.99,111.29,101.3
16,99131.03906,99103.19531,99092.39844,98992.57031,207,27.84,38.64,138.47,10.8,110.62,99.83
17,99131.61719,99103.53906,99093.67969,98992.39844,207,28.08,37.94,139.22,9.86,111.14,101.28
18,99132.69531,99104.14063,99092.95313,98992.57031,207,28.55,39.74,140.12,11.19,111.57,100.38
19,99131.42969,99103.96094,99093.36719,98992.52344,207,27.47,38.06,138.91,10.59,111.44,100.84
20,99132.71875,99104.64844,99092.75,98992.78125,208,28.07,39.97,139.94,11.9,111.87,99.97
21,99130.1875,99102.22656,99093.51563,98992.72656,212,27.96,36.67,137.46,8.71,109.5,100.79
22,99131.49219,99103.03906,99093.09375,98992.57813,202,28.45,38.4,138.91,9.95,110.46,100.52
23,99131.02344,99102.72656,99093.32813,98992.75781,207,28.3,37.7,138.27,9.4,109.97,100.57
24,99130.92188,99102.77344,99093.125,98992.80469,208,28.15,37.8,138.12,9.65,109.97,100.32
25,99130.71875,99103.16406,99093.84375,98992.73438,207,27.55,36.88,137.98,9.32,110.43,101.11
26,99131.69531,99103.5625,99094.35938,98992.64844,212,28.13,37.34,139.05,9.2,110.91,101.71
27,99130.79688,99103.14063,99093.49219,98992.71094,203,27.66,37.3,138.09,9.65,110.43,100.78
28,99131.36719,99103.29688,99094.08594,98992.69531,208,28.07,37.28,138.67,9.21,110.6,101.39
29,99130.26563,99102.84375,99094.1875,98992.67969,208,27.42,36.08,137.59,8.66,110.16,101.51
30,99130.80469,99102.95313,99092.73438,98992.69531,207,27.85,38.07,138.11,10.22,110.26,100.04
31,99131.96094,99104.21875,99092.75,98992.59375,212,27.74,39.21,139.37,11.47,111.62,100.16
32,99130.60938,99103.29688,99093.39844,98992.98438,203,27.31,37.21,137.62,9.9,110.31,100.41
33,99130.36719,99102.89844,99093.52344,98992.75781,208,27.47,36.84,137.61,9.38,110.14,100.77
34,99131.22656,99103.42969,99093.70313,98992.9375,207,27.8,37.52,138.29,9.73,110.49,100.77
35,99131.04688,99103.16406,99093.66406,98992.89063,208,27.88,37.38,138.16,9.5,110.27,100.77
36,99131.89844,99103.39844,99093.14063,98992.73438,208,28.5,38.76,139.16,10.26,110.66,100.41
37,99131.98438,99103.83594,99092.39063,98992.625,207,28.15,39.59,139.36,11.45,111.21,99.77
38,99130.28906,99102.65625,99093.9375,98992.69531,208,27.63,36.35,137.59,8.72,109.96,101.24
39,99131.73438,99103.33594,99092.57031,98992.82813,208,28.4,39.16,138.91,10.77,110.51,99.74
40,99131.21875,99102.67188,99092.08594,98992.71094,207,28.55,39.13,138.51,10.59,109.96,99.37
41,99132.375,99103.60938,99093.32031,98992.70313,207,28.77,39.05,139.67,10.29,110.91,100.62
42,99128.71875,99102.09375,99093.52344,98992.53906,208,26.62,35.2,136.18,8.57,109.55,100.98
43,99131.32031,99103.25,99093.73438,98992.65625,208,28.07,37.59,138.66,9.52,110.59,101.08
44,99129.625,99102.59375,99093.08594,98992.52344,207,27.03,36.54,137.1,9.51,110.07,100.56
45,99129.92188,99102.57813,99093.29688,98992.6875,208,27.34,36.63,137.23,9.28,109.89,100.61
46,99130.57031,99102.51563,99092.82813,98992.47656,208,28.05,37.74,138.09,9.69,110.04,100.35
47,99130.6875,99102.49219,99093.50781,98992.57813,211,28.2,37.18,138.11,8.98,109.91,100.93
48,99129.25781,99102.125,99093.23438,98992.50781,203,27.13,36.02,136.75,8.89,109.62,100.73
49,99130.35938,99102.5625,99092.55469,98992.52344,208,27.8,37.8,137.84,10.01,110.04,100.03
50,99130.52344,99102.90625,99093.42969,98992.625,208,27.62,37.09,137.9,9.48,110.28,100.8
mu,119.835937,91.039062,88.75,0.140625,193.5,,,,,,
sd,0.328683,0.718623,0.242439,0.174576,30.38,,,,,,
Q,0.475742,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on input,,,,,,,,,,,
Oct 22 2021 14:39:44,Pump Off Samples,N=15,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99014.35938,99015.0625,99007.57813,98995.13281,14,-0.7,6.78,19.23,7.48,19.93,12.45
2,99014.14844,99015.0625,99007.41406,98995.23438,194,-0.91,6.73,18.91,7.65,19.83,12.18
3,99014.30469,99015.08594,99007.625,98995.28906,207,-0.78,6.68,19.02,7.46,19.8,12.34
4,99014.34375,99015.23438,99007.5,98995.35938,208,-0.89,6.84,18.98,7.73,19.87,12.14
5,99014.49219,99015.14063,99007.70313,98995.41406,207,-0.65,6.79,19.08,7.44,19.73,12.29
6,99014.55469,99015.25,99007.73438,98995.19531,208,-0.7,6.82,19.36,7.52,20.05,12.54
7,99014.55469,99015.26563,99007.78125,98995.47656,207,-0.71,6.77,19.08,7.48,19.79,12.3
8,99014.32031,99015.125,99007.70313,98995.19531,208,-0.8,6.62,19.12,7.42,19.93,12.51
9,99014.42188,99015.11719,99007.69531,98995.42188,207,-0.7,6.73,19,7.42,19.7,12.27
10,99014.375,99015.14063,99007.66406,98995.13281,207,-0.77,6.71,19.24,7.48,20.01,12.53
11,99014.13281,99015.25,99007.59375,98995.125,208,-1.12,6.54,19.01,7.66,20.12,12.47
12,99014.34375,99015.17969,99007.50781,98995.07813,207,-0.84,6.84,19.27,7.67,20.1,12.43
13,99014.17969,99015.16406,99007.49219,98994.89844,208,-0.98,6.69,19.28,7.67,20.27,12.59
14,99014.30469,99015.16406,99007.54688,98994.95313,207,-0.86,6.76,19.35,7.62,20.21,12.59
15,99014.19531,99014.96875,99007.42188,98995.13281,207,-0.77,6.77,19.06,7.55,19.84,12.29
Oct 22 2021 14:39:44,flow rate=0.66,N=100,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99131.46875,99103.55469,99093.64844,98993.4375,13,27.91,37.82,138.03,9.91,110.12,100.21
2,99131.39063,99103.86719,99093.82813,98993.375,200,27.52,37.56,138.02,10.04,110.49,100.45
3,99130.14844,99103.24219,99093.90625,98993.57813,206,26.91,36.24,136.57,9.34,109.66,100.33
4,99130.46094,99104.04688,99095.54688,98993.57031,208,26.41,34.91,136.89,8.5,110.48,101.98
5,99132.99219,99105.60156,99094.64063,98993.57813,207,27.39,38.35,139.41,10.96,112.02,101.06
6,99131.4375,99103.95313,99094.64844,98993.75,207,27.48,36.79,137.69,9.3,110.2,100.9
7,99132.0625,99104.125,99095.34375,98993.8125,207,27.94,36.72,138.25,8.78,110.31,101.53
8,99132.88281,99105.82031,99093.15625,98993.92188,208,27.06,39.73,138.96,12.66,111.9,99.23
9,99130.625,99103.53906,99094.9375,98993.78125,207,27.09,35.69,136.84,8.6,109.76,101.16
10,99132.34375,99105.07031,99095.875,98994.3125,207,27.27,36.47,138.03,9.2,110.76,101.56
11,99133.83594,99105.38281,99095.66406,98994.42969,207,28.45,38.17,139.41,9.72,110.95,101.23
12,99132.11719,99104.72656,99095.69531,98994.55469,207,27.39,36.42,137.56,9.03,110.17,101.14
13,99133.73438,99105.46094,99096.26563,98994.4375,208,28.27,37.47,139.3,9.2,111.02,101.83
14,99133.57031,99106.32813,99096.60938,98994.47656,207,27.24,36.96,139.09,9.72,111.85,102.13
15,99134.14063,99105.22656,99096.21094,98994.46875,211,28.91,37.93,139.67,9.02,110.76,101.74
16,99132.90625,99105.34375,99096.5625,98994.64063,203,27.56,36.34,138.27,8.78,110.7,101.92
17,99133.44531,99105.75,99096.42969,98994.88281,207,27.7,37.02,138.56,9.32,110.87,101.55
18,99134.25,99104.85156,99095.82031,98995.05469,207,29.4,38.43,139.2,9.03,109.8,100.77
19,99131.875,99105.57031,99097.48438,98994.94531,207,26.3,34.39,136.93,8.09,110.62,102.54
20,99133.70313,99105.84375,99096.76563,98995.04688,208,27.86,36.94,138.66,9.08,110.8,101.72
21,99133.82813,99106.50781,99095.07031,98994.78906,207,27.32,38.76,139.04,11.44,111.72,100.28
22,99134.13281,99105.26563,99095.82813,98994.89844,207,28.87,38.3,139.23,9.44,110.37,100.93
23,99132.91406,99105.71094,99095.86719,98994.90625,207,27.2,37.05,138.01,9.84,110.8,100.96
24,99133.29688,99105.60156,99097.14063,98994.77344,208,27.7,36.16,138.52,8.46,110.83,102.37
25,99132.07031,99105.33594,99096.58594,98994.90625,207,26.73,35.48,137.16,8.75,110.43,101.68
26,99131.24219,99106.10156,99096.1875,98994.9375,207,25.14,35.05,136.3,9.91,111.16,101.25
27,99132.52344,99105.60938,99095.94531,98994.94531,207,26.91,36.58,137.58,9.66,110.66,101
28,99131.8125,99104.90625,99096.67969,98994.89844,207,26.91,35.13,136.91,8.23,110.01,101.78
29,99131.66406,99106.29688,99094.19531,98994.67969,207,25.37,37.47,136.98,12.1,111.62,99.52
30,99133.28125,99104.32813,99095.5625,98994.44531,208,28.95,37.72,138.84,8.77,109.88,101.12
31,99130.90625,99105.64063,99095.14844,98994.47656,207,25.27,35.76,136.43,10.49,111.16,100.67
32,99132.36719,99105.13281,99094.78125,98994.44531,207,27.23,37.59,137.92,10.35,110.69,100.34
33,99132.99219,99103.65625,99094.72656,98994.29688,207,29.34,38.27,138.7,8.93,109.36,100.43
34,99132.33594,99105.10938,99095.73438,98994.22656,207,27.23,36.6,138.11,9.38,110.88,101.51
35,99131.99219,99104.8125,99095.91406,98994.29688,208,27.18,36.08,137.7,8.9,110.52,101.62
36,99130.5,99105.82031,99094.03125,98994.1875,207,24.68,36.47,136.31,11.79,111.63,99.84
37,99131.15625,99104.875,99094.55469,98994.14063,207,26.28,36.6,137.02,10.32,110.73,100.41
38,99131.57813,99104.85938,99095.04688,98994.07031,207,26.72,36.53,137.51,9.81,110.79,100.98
39,99132.39844,99104.85156,99094.51563,98994.16406,207,27.55,37.88,138.23,10.34,110.69,100.35
40,99131.82813,99104.8125,99095.0625,98993.98438,207,27.02,36.77,137.84,9.75,110.83,101.08
41,99132.65625,99106.67188,99095.78906,98993.80469,211,25.98,36.87,138.85,10.88,112.87,101.98
42,99134.94531,99106.5625,99093.67188,98993.8125,204,28.38,41.27,141.13,12.89,112.75,99.86
43,99133.09375,99103.92188,99094.875,98993.66406,207,29.17,38.22,139.43,9.05,110.26,101.21
44,99132.33594,99104.07031,99094.3125,98993.4375,207,28.27,38.02,138.9,9.76,110.63,100.87
45,99130.53906,99104.19531,99092.79688,98993.21094,207,26.34,37.74,137.33,11.4,110.98,99.59
46,99129.96094,99102.96094,99094.13281,98993.22656,207,27,35.83,136.73,8.83,109.73,100.91
47,99131.76563,99103.00781,99094.23438,98993.11719,208,28.76,37.53,138.65,8.77,109.89,101.12
48,99130.57813,99104.1875,99093.34375,98993.10156,207,26.39,37.23,137.48,10.84,111.09,100.24
49,99131.41406,99103.35938,99093.25781,98992.9375,207,28.05,38.16,138.48,10.1,110.42,100.32
50,99131.35156,99103.98438,99093.91406,98992.91406,207,27.37,37.44,138.44,10.07,111.07,101
51,99132.64063,99104.14063,99093.01563,98993.04688,208,28.5,39.63,139.59,11.13,111.09,99.97
52,99130.53906,99102.85156,99092.96875,98993.23438,206,27.69,37.57,137.3,9.88,109.62,99.73
53,99130.50781,99103.25781,99094.15625,98993.24219,208,27.25,36.35,137.27,9.1,110.02,100.91
54,99131.39063,99103,99093.66406,98993.42969,207,28.39,37.73,137.96,9.34,109.57,100.23
55,99130.24219,99103.14063,99093.58594,98993.46094,207,27.1,36.66,136.78,9.55,109.68,100.12
56,99130.59375,99101.79688,99094.21875,98993.71875,207,28.8,36.38,136.87,7.58,108.08,100.5
57,99130.84375,99103.96875,99093.8125,98993.74219,207,26.87,37.03,137.1,10.16,110.23,100.07
58,99131.46875,99103.67188,99094.125,98993.53125,208,27.8,37.34,137.94,9.55,110.14,100.59
59,99130.94531,99104.07031,99093.79688,98993.80469,207,26.87,37.15,137.14,10.27,110.27,99.99
60,99133.09375,99103.71875,99095.82031,98993.99219,207,29.37,37.27,139.1,7.9,109.73,101.83
61,99130.78906,99104.35156,99094.82813,98993.98438,207,26.44,35.96,136.8,9.52,110.37,100.84
62,99130.49219,99103.16406,99092.92188,98993.91406,211,27.33,37.57,136.58,10.24,109.25,99.01
